MOVIE TITLE - ENG,MOVIE TITLE - DAN,MOVIE TITLE - Greenlandic,FILE_NAME,FORMAT,LANGUAGE OPTIONS - ENG,LANGUAGE OPTIONS - DAN,SUBTITLE OPTIONS,SUBTITLE OPTIONS - DAN,GENRE - ENG,GENRE - DAN,GENRE - Greenlandic,DURATION,RATING,DIRECTOR,CAST,SYNOPSIS - ENG,SYNOPSIS - DAN,SYNOPSIS - Greenlandic
The LEGO Batman Movie,Lego Batman filmen,The LEGO Batman Movie,AG0619_HCV_06,mp4,"English, Danish","Engelsk, dansk",,,Animation,Animation,Titartagaq,104,PG,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson","A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","En Bruce Wayne, smartere end nogensinde, skal klare de sædvanlige mistænkte, da de planlægger at regere Gotham City, og opdager, at han utilsigtet har adopteret en forældreløs teenager, som gerne vil være hans makker.","Bruce Wayne aatsaat taamak kakkatsigilersimasoq, pisarnertut pasisat ajugaaffigissagamigit, tassami Gotham City naalagaaffigerusullugu pilersaarusiorput, aammami Brucep paasivaa, inuusuttuaraq angajoqqaaqanngitsoq siunertarineqanngikkaluartumik qitornarsiarilersimallugu, taassumalumi kammattarerusummani."
X-Men: First Class,X-Men: First Class,X-Men: First Class,AG0619_HCV_02,mp4,English,Engelsk,,,Action,Action,Annilaarnartoq,131,PG-13,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.","I 1962 får den amerikanske regering hjælp fra mutanter med supermenneske-kræfter for at stoppe en ondsindet diktator, som er fast besluttet på at starte 3. verdenskrig.","Ukioq 1962-mi amerikkami naalakkersuisut mutantinik pisaanilissuarniit ikiorneqarput, kisermaassilluni naalakkersuisoq ajorniartorujussuaq sorsunnersuit pingajuannit aallartitsiniarluni aaliangiussaqarsimasoq unitsinniarlugu."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
